hotelSequence;hotelName;destinationCode;averageRoom;averageFacilities;averageClean;averageFood;averagePersonal;averageCheckin;averageQuality;travelmodePleasure;travelmodeFriends;travelmodeBusiness;companionAlone;companionPartner;companionFamily;companionFriends;companionColleagues;recomendationIndividuals;recomendationCouples;recomendationFamilies;recomendationGroups;recomendationBusiness;numberReviews;mailsEnviados;mediumValue
7.336;Britannique;NAP;2;3;3;4;5;3;3;1;1;0;0;2;0;0;0;2;1;1;0;0;2;2;3
89.407;Doro;TIA;4;3;3;2;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;3
33.618;Le Meridien Phuket Beach Resort;HKT;4;5;5;5;5;5;5;2;0;0;0;0;2;0;0;1;2;2;0;0;2;13;5
68.324;Waterford Travelodge;WAT;2;2;3;3;3;1;2;2;0;0;0;1;1;0;0;1;0;0;0;1;2;19;2
74.610;Shangri-Las Rasa Sayang Resort and Spa, Penang;PEN;4;5;5;5;5;5;4;3;0;0;0;3;0;0;0;0;3;2;1;1;3;24;5
156.581;Hotel Vitkov;PRG;4;4;4;4;4;0;4;1;0;0;0;0;1;0;0;1;1;1;1;0;1;4;4
16.007;Uniquestay Mihkli;TLL;4;4;4;4;4;4;4;12;0;1;3;4;4;1;0;9;12;7;10;9;13;64;4
9.182;Plaza Padova;QPA;3;3;4;4;4;4;4;1;0;1;0;1;0;0;1;0;1;0;0;1;2;7;4
127.885;Brilant;TIA;5;5;5;4;4;0;5;2;1;0;0;3;0;0;0;1;3;2;1;1;3;6;5
54.666;Albergo Mediterraneo;SIC;4;3;3;2;4;0;5;1;0;0;0;1;0;0;0;1;1;1;0;0;1;7;4
5.734;Machiavelli Palace;FLR;4;3;4;4;4;5;4;10;0;1;3;6;1;1;0;7;6;4;4;2;11;37;4
127.237;Piccola Fenice;VCE;3;3;3;0;2;2;3;2;0;0;0;0;2;0;0;0;0;1;0;0;2;2;3
68.292;Residence Mercure Diamant;FDF;3;3;2;3;4;4;3;1;0;1;1;1;0;0;0;0;0;1;1;0;2;8;3
86.799;Holiday Inn Express Hamilton;GLA;5;4;5;5;4;0;4;0;1;0;0;1;0;0;0;1;1;0;1;1;1;3;5
67.521;Gran Caribe Club Villa Cuba Resort;VRA;4;4;5;5;5;5;4;3;0;0;1;2;0;0;0;2;2;2;1;0;3;7;3
3.090;Parador de Cervera;PAL;4;4;4;5;4;5;4;14;0;0;0;12;2;0;0;6;12;8;7;2;14;43;4
144.122;Monjas del Carmen;GRX;4;4;5;4;4;0;4;8;0;0;0;5;2;1;0;5;6;5;5;1;8;19;4
134.194;Ramada Chelsea Hotel Al barsha;DXB;4;4;4;4;4;0;5;4;0;0;1;1;2;0;0;2;3;4;2;1;4;9;4
154.267;Sheraton Myrtle Beach;MYR;5;4;4;4;5;0;5;2;0;0;0;1;1;0;0;2;2;2;2;2;2;5;4
218.588;DM Residente Hotel;PPG;2;2;2;1;1;0;2;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;2
127.788;San Domenico Club Residence;RDC;4;3;5;4;4;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;4
123.201;Mercure Sydney Airport;SYD;5;4;5;0;5;0;4;2;0;0;1;1;0;0;0;1;1;1;1;0;2;17;4
23.885;Guadiana;CRE;5;5;5;4;4;4;5;27;8;4;6;19;12;1;1;24;34;25;24;16;39;96;5
111.494;Sol Playa;VLC;4;4;4;3;5;5;4;9;0;4;6;4;3;0;0;11;12;6;5;3;13;27;4
120.252;Oasis Plantio Golf;ALC;5;4;3;3;4;4;4;10;3;0;0;3;8;2;0;1;6;11;2;0;13;49;4
22.558;Gran Hotel Costa Rica;SJO;3;4;4;4;4;5;4;6;0;0;0;4;1;1;0;2;3;3;2;2;6;19;4
1.478;Cala Bona / Mar Blava;MAH;4;4;4;4;4;4;4;9;0;0;1;4;2;2;0;5;7;3;3;0;9;40;4
59.515;Astra Village;ION;5;5;5;5;5;5;5;1;0;0;0;0;1;0;0;0;1;1;1;0;1;6;5
1.425;Sirenis Hotel Club Siesta;IBZ;4;4;4;4;4;5;4;3;0;0;0;1;2;0;0;1;1;2;0;0;3;22;4
6.597;Pyramisa Isis Corniche;ASW;4;4;4;4;4;4;4;10;1;1;3;2;2;4;1;10;7;6;5;1;12;38;4
161.307;Residence of Tourist College;LWO;4;4;4;3;3;0;3;15;0;0;2;0;2;11;0;12;2;0;11;1;15;72;4
169.826;Balneario De Lanjaron;GRX;3;2;1;2;4;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;3
147.800;Rose Garden Shinjuku;NRT;5;4;5;5;5;0;5;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;5
14.917;Astor Court (Oxford Circus);LON;4;3;4;3;4;4;4;5;3;3;3;3;2;3;0;7;8;3;1;6;11;65;4
162.548;Mirador De Santa Ana;AVA;3;3;4;3;4;0;4;10;0;0;1;7;2;0;0;6;8;6;6;0;10;44;3
146.726;Casa del Rio Melaka;MKZ;4;4;4;4;4;0;4;3;0;0;0;1;2;0;0;1;2;2;0;0;3;12;4
1.963;Santa Fe;LPA;4;5;5;3;5;4;5;3;0;0;1;0;1;1;0;1;1;2;2;0;3;11;4
22.563;Mint Hotel;GLA;4;4;5;4;4;5;4;21;0;0;1;12;6;2;0;15;16;5;9;15;21;87;4
73.306;Secrets Marquis Los Cabos;CAB;4;5;5;5;4;4;3;2;0;0;0;2;0;0;0;0;2;1;1;0;2;2;4
102.816;Agua Marina;ACE;4;4;4;1;4;5;5;3;0;0;0;2;1;0;0;0;2;1;1;0;3;10;4
58.225;Joy Club Bodrum;BJV;3;4;4;4;4;4;4;2;0;0;2;0;0;0;0;2;2;2;2;1;2;13;4
3.889;Residencia Eolo;PMI;3;3;3;3;4;4;3;8;0;0;2;6;0;0;0;7;6;2;4;0;8;50;3
121.644;Hotel International Bucharest;BUH;4;3;4;3;4;0;4;1;0;0;1;0;0;0;0;1;1;1;1;0;1;4;4
84.793;Academia;VIE;2;3;3;2;4;3;4;7;0;0;1;2;4;0;0;4;1;4;5;0;7;20;3
120.183;The Cove Rotana Resort;RKT;5;5;4;5;4;0;4;1;0;0;0;1;0;0;0;0;1;1;0;0;1;4;5
143.776;Kasr-I Nehroz;MQM;5;5;5;5;5;0;5;2;0;0;0;2;0;0;0;2;2;2;0;0;2;5;5
172.647;El Espa?ol Paseo de Montejo;MER;4;3;5;4;5;0;3;1;0;0;0;1;0;0;0;0;0;0;1;1;1;2;4
112;Aqualuz - Suite Hotel Apartments;FAO;5;5;4;4;4;4;4;26;0;0;0;17;7;2;0;4;20;23;7;1;26;99;4
148.671;SANA Silver Coast;CEN;5;4;4;4;3;0;4;3;0;0;0;2;1;0;0;3;3;2;1;1;3;7;4
30.342;Quality Inn Nanterre;PAR;4;4;4;3;4;4;4;3;0;0;0;3;0;0;0;0;3;1;0;0;3;15;4
90.839;Sol Daurat;SAL;4;3;4;0;0;1;4;1;1;0;1;0;1;0;0;1;1;1;1;0;2;3;3
133.158;Royal Holiday Palace;AYT;4;4;4;4;4;0;4;8;0;0;1;0;7;0;0;1;4;8;3;2;8;41;4
190.239;Hotel Cesario;CEB;3;3;3;4;2;0;3;1;0;0;0;0;1;0;0;1;1;1;1;1;1;3;3
127.177;Lux;VCE;4;3;4;3;4;0;4;2;0;0;0;0;1;1;0;0;1;0;0;0;2;7;3
8.367;Vidago Palace;NOR;4;5;5;4;5;0;4;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;5
194.577;Campanile Rennes Saint Jacques;REN;4;4;4;0;5;0;4;1;0;0;1;0;0;0;0;1;1;1;1;0;1;2;4
598;Los Fariones;ACE;4;4;5;3;3;4;4;4;0;0;0;3;1;0;0;0;1;2;1;2;4;22;4
139.195;Top Club Plaza Hotel;POT;5;5;4;5;5;0;5;1;0;0;0;0;1;0;0;1;1;1;1;1;1;2;5
1.104;D'or Tucan;PMI;4;3;5;4;4;4;4;5;0;0;0;4;1;0;0;3;4;2;2;2;5;18;4
701;Rey Don Jaime Marina;PMI;5;5;5;5;5;5;5;2;0;0;0;1;1;0;0;0;1;2;0;0;2;10;5
128.768;Villa Tulum Hotel;PCM;2;2;3;2;1;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2
162.474;Sliema Marina Hotel;MLA;4;4;4;4;4;0;4;13;0;1;4;6;2;2;0;9;10;6;7;2;14;59;4
164.619;Protea Hotel Safari Lodge;CEP;5;5;5;5;5;0;5;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;5
4.646;Almar;FAO;4;4;4;4;4;5;4;31;0;0;0;8;16;5;2;6;23;24;13;1;31;92;4
98.117;Rapallo;FLR;3;3;3;3;4;4;3;9;1;0;1;7;2;0;0;4;6;5;3;1;10;30;3
110.272;St George Roma;ROE;5;5;4;5;5;5;5;3;0;0;0;3;0;0;0;1;3;0;0;0;3;9;5
117.073;Horizon Pyramids Resort;CAI;4;4;4;4;4;0;5;2;0;0;0;2;0;0;0;1;1;1;1;0;2;4;4
112.339;Petit Palais;VCE;3;4;4;3;4;0;3;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;4
1.637;Gran Santa Ponsa;PMI;4;4;4;0;3;5;4;2;0;0;0;2;0;0;0;1;1;1;1;1;2;12;4
83.958;Du Simplon;LYS;5;5;5;5;5;5;5;2;0;0;1;0;1;0;0;2;2;2;2;1;2;12;5
90.066;Castleknock Hotel & Country Club;DUB;5;5;5;5;5;5;5;2;1;0;0;3;0;0;0;0;3;0;1;0;3;17;5
4.307;AC Hotel Arganda by Marriott;MAD;4;4;4;4;4;4;4;3;0;0;1;2;0;0;0;3;2;1;1;1;3;17;4
26.897;Setar;SSR;3;3;3;3;3;3;4;7;1;0;0;4;1;1;2;3;3;3;5;4;8;34;3
49.151;Santa EufǸmia;CEN;5;5;5;4;5;5;5;3;0;0;1;0;1;1;0;3;3;3;3;1;3;19;5
5.802;First;FLR;4;3;5;3;4;5;4;2;0;0;0;1;0;1;0;1;1;0;0;1;2;15;4
6.624;Hesperia London Victoria;LON;4;4;5;4;5;5;4;7;0;0;0;2;3;2;0;4;6;6;5;5;7;45;4
66.240;Aska Kleopatra Beste;ADN;5;4;5;5;5;0;5;2;0;0;0;1;1;0;0;2;2;1;1;2;2;2;4
74.248;Eastern and Oriental Penang;PEN;4;5;5;4;4;4;4;8;0;0;0;7;1;0;0;6;8;4;1;3;8;32;4
168.989;Don Boutique;MVD;5;5;4;3;4;0;5;1;0;0;0;0;0;1;0;1;1;1;0;1;1;2;4
90.961;Novotel Sydney on Darling Harbour;SYD;4;4;5;4;5;0;4;1;0;0;0;0;1;0;0;1;0;1;0;1;1;6;4
90.619;Phu Pai Art Resort ;XX6;5;4;4;4;4;0;5;1;0;0;0;0;1;0;0;1;1;1;1;0;1;2;4
3.972;Las Palmas by the Sea;PVR;3;4;5;4;4;4;4;3;0;0;0;1;2;0;0;0;0;1;1;0;3;10;4
147.179;Miro Zante Royal Resort & Waterpark;ZTE;4;4;4;4;4;0;5;2;0;0;0;0;2;0;0;0;0;2;0;0;2;4;4
86.960;Metro Hotel Sydney Central;SYD;4;4;4;4;3;3;4;5;1;0;2;3;1;0;0;5;4;1;0;1;6;18;3
77.551;City Inn;BUD;2;2;5;2;4;5;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;10;3
17.817;Zecchini;VCE;4;4;4;3;4;4;4;7;0;0;1;3;1;2;0;3;5;4;1;1;7;20;3
995;H10 Vintage Salou;SAL;4;4;3;5;4;4;4;11;0;0;0;6;5;0;0;2;6;6;5;0;11;53;4
14.034;Hilton Edinburgh Airport;EDI;5;5;5;0;4;3;3;1;0;1;1;1;0;0;0;0;0;0;0;1;2;28;4
114.863;Trevi;ROE;4;3;4;3;4;4;4;3;0;0;0;2;1;0;0;0;2;1;0;0;3;27;4
125.635;Formule 1;LER;3;3;3;4;4;4;4;1;0;0;0;1;0;0;0;1;1;0;0;0;1;9;4
130.190;Mac Boutique Suites;BKK;4;3;4;3;3;0;4;2;0;0;1;0;1;0;0;1;1;1;1;0;2;8;3
5.986;Excelsior Frankfurt;FRA;4;5;5;5;5;0;5;3;0;0;0;3;0;0;0;2;3;2;2;3;3;9;5
187.804;Boracay Holiday Resort;MPH;3;4;4;3;3;0;3;1;0;0;1;0;0;0;0;1;1;1;0;0;1;4;3
147.256;Bansko Royal Towers;PBB;4;4;3;3;3;0;4;5;0;0;0;1;3;1;0;4;5;5;5;1;5;14;3
3.212;Catalonia Gardens;SAL;3;2;2;3;3;3;3;17;2;0;1;3;10;5;0;3;3;3;8;0;19;74;3
3.033;Rocamar Exclusive Hotel & Spa;FAO;4;4;4;3;4;4;4;19;2;1;0;17;2;2;1;10;18;4;6;4;22;59;4
128.877;RH Porto Cristo;CAZ;4;4;4;4;4;4;4;9;0;0;0;7;1;1;0;4;6;6;4;0;9;44;4
60.200;Rural Casablanca;TFS;5;5;5;5;5;0;5;4;0;0;0;3;1;0;0;1;4;2;2;0;4;25;5
5.652;Gallia Hotel;ROE;4;4;4;4;3;4;4;6;0;0;0;2;1;3;0;3;6;2;2;1;6;22;4
8.428;Real de Toledo;TOL;4;3;4;3;4;4;4;26;1;1;0;21;6;1;0;16;20;17;13;5;28;99;4
155.582;North Lakes Hotel & Spa;CAR;3;3;3;3;2;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;3;3
165.394;Grand Hotel De La Gare;TOU;2;2;3;3;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2
47.092;NH Hamburg Altona;HAM;4;4;5;4;4;4;4;6;1;0;0;2;2;3;0;3;5;3;2;5;7;52;4
89.604;Coral;ATH;3;3;3;2;3;2;3;3;0;0;0;2;1;0;0;1;2;1;1;2;3;6;3
89.861;Hotel Rural Fonda de la Tea;LPA;5;5;5;5;3;5;3;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;4
84.221;Abaco Beach Resort & Boat Harbour;ASD;4;4;4;4;3;0;2;1;0;0;0;0;1;0;0;1;1;1;1;0;1;2;4
5.068;Clube Praia da Rocha;FAO;3;3;3;3;4;4;4;148;4;3;4;51;77;22;1;22;60;92;57;5;155;581;3
856;Parque Mourabel, Oǭsis Village, PǸ do Lago;FAO;3;3;3;4;4;4;4;56;6;9;6;27;26;9;2;25;33;44;16;7;71;256;3
8.560;Louis Phaethon Beach;PA;5;5;5;5;5;5;5;2;0;0;1;0;1;0;0;1;1;1;1;0;2;10;5
3.526;Naudi;AND;3;3;4;4;4;4;4;6;0;0;0;3;2;1;0;2;4;1;1;0;6;10;4
132.743;Luzmar Villas;FAO;4;4;4;4;5;0;5;6;0;0;0;5;1;0;0;0;3;5;0;0;6;28;4
157.199;Barcelo Solymar Arenas Blancas Resort;VRA;3;4;3;3;3;0;3;36;1;0;2;14;16;4;1;20;22;23;17;1;37;278;3
3.571;Anyos Park Hotel;AND;4;4;4;4;4;4;4;23;1;0;0;6;18;0;0;3;9;20;4;1;24;70;4
188.724;Aquarius Aparthotel;CFU;4;4;3;0;3;0;4;2;0;0;0;1;0;1;0;1;2;0;0;0;2;2;4
97.733;West Wind Inn;FOM;5;5;5;0;5;0;5;0;1;0;0;1;0;0;0;1;1;1;1;1;1;2;5
13.213;The Naples Beach Hotel & Golf Club;NAL;4;5;4;4;4;5;4;6;0;0;0;4;2;0;0;5;6;6;5;1;6;44;4
173;Ibis;AND;4;4;5;4;4;4;4;73;0;1;2;23;39;9;1;18;43;60;36;10;74;301;4
86.292;International Hotel;DBY;4;4;4;4;3;4;4;2;0;1;1;2;0;0;0;1;2;0;1;1;3;14;4
184.249;Les Hammadites;BJA;3;3;3;3;4;0;3;6;1;0;1;2;4;0;0;6;6;6;6;1;7;15;3
4.449;Vila Gale Opera;LIS;4;4;4;4;4;4;4;30;1;5;3;19;9;2;3;16;26;17;17;18;36;131;4
74.842;Comfort Meaux;PAR;4;4;4;0;4;4;5;1;0;0;0;0;1;0;0;0;1;1;0;0;1;15;4
62.363;Holiday Inn Hotel & Suites Harbourside;CLE;5;5;4;3;4;0;4;2;0;0;0;1;1;0;0;0;1;2;1;0;2;9;4
116.897;Best Western Plus Tree House Motor Inn;MHS;5;5;5;5;5;0;5;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;5
91.331;Mitsis Norida Beach;KSS;5;5;5;5;5;0;5;1;0;0;0;0;1;0;0;0;1;1;1;0;1;14;5
5.095;Terraza del Pacifico;JCO;3;3;4;2;3;1;3;1;0;0;0;1;0;0;0;1;1;1;0;0;1;2;3
93.575;Appart City Poissy;PAR;3;4;4;3;4;2;3;2;0;1;2;0;1;0;0;2;2;1;1;0;3;22;3
2.547;Cemre;BJV;4;4;4;2;4;0;5;2;0;0;0;0;1;1;0;1;1;0;0;0;2;13;4
126.544;Plaza Hotel Curacao;CUA;4;3;4;3;4;0;4;1;0;0;0;0;1;0;0;1;1;1;0;0;1;9;4
28.723;Trinity Capital;DUB;4;4;5;4;4;4;4;26;2;0;3;16;4;5;0;25;26;11;15;16;28;114;4
16.841;Arepar;MAH;4;5;4;5;5;5;5;2;0;0;0;0;2;0;0;1;1;2;1;0;2;9;5
34.582;Imperial Boat House Koh Samui;USM;5;5;5;5;5;0;4;1;0;0;0;1;0;0;0;0;1;1;0;0;1;7;5
123.906;Europa Stay;VNO;5;5;2;5;5;0;5;1;0;0;0;0;0;1;0;1;1;1;1;0;1;15;5
177.890;V Wanchai2 Hotel;HKG;5;4;4;3;4;0;5;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;4
14.193;El Greco;SAT;4;4;4;3;5;5;3;2;0;0;0;0;2;0;0;0;1;2;1;0;2;8;4
107.142;Deusol 3000;AND;4;4;4;4;4;4;4;44;1;0;0;2;35;8;0;10;20;38;22;2;45;156;4
132.519;Hipark Grenoble;GRN;4;4;5;5;5;0;5;1;0;1;1;1;0;0;0;0;1;0;1;2;2;5;5
142.724;Acca Palace;MIL;4;4;5;4;4;0;5;4;1;0;1;1;2;1;0;2;4;2;3;1;5;23;4
141.459;Casa Hassan;TNG;5;4;4;3;4;0;3;1;0;0;0;1;0;0;0;0;1;0;0;0;1;2;4
9.483;Marriott Cap D'Ail;MCM;4;4;5;4;5;5;5;4;0;0;0;2;0;2;0;4;4;2;3;3;4;13;4
15.146;Clipper;LLM;3;3;4;3;3;4;3;3;0;0;0;0;0;3;0;1;1;0;3;0;3;27;3
1.018;Don Juan Tossa;LLM;4;4;4;3;4;4;4;40;2;0;0;11;26;3;2;7;17;31;20;1;42;153;4
114.037;Pharos;SPU;3;4;3;4;4;2;3;2;0;0;0;1;0;1;0;1;1;1;1;0;2;18;3
131.178;Hampton Inn Chattanooga-North;CHT;5;5;5;5;4;0;5;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;5
195.853;Roman Terrace;ROE;3;3;2;0;4;0;4;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;3
181.988;Theo Bungalows;HLK;3;3;3;2;5;0;3;2;0;0;0;0;2;0;0;1;2;2;1;0;2;2;3
14.196;Kontiki Playa;PMI;2;2;4;2;3;4;3;3;0;0;0;0;1;2;0;1;1;1;1;0;3;11;3
120.474;Innside Frankfurt Eurotheum;FRA;5;5;4;4;4;4;4;2;0;2;2;1;0;0;0;3;2;1;1;1;4;20;4
67.303;Baez Carrizal;VIA;5;5;5;4;5;0;5;0;1;0;0;0;1;0;0;0;0;0;0;1;1;2;5
85.199;Kocer Beach Hotel;DLM;2;1;2;2;2;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;5;2
231.456;Darlene Hotel;SIN;3;3;4;0;4;0;4;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;4
78.450;Best Western City Hotel Sofia ;SOF;4;4;5;5;5;5;5;0;0;2;1;0;0;0;1;1;0;0;1;2;2;12;4
73.179;Sofitel Centara Grand Resort & Villas,Hua Hin;HHQ;4;4;5;5;5;5;5;1;0;0;0;1;0;0;0;0;1;1;0;0;1;2;5
69.682;Hilton Kuala Lumpur;KUL;4;5;5;5;5;0;5;3;0;0;1;1;1;0;0;3;3;2;1;2;3;66;5
2.866;Puerto Caleta;FUE;3;3;4;3;4;4;4;10;0;0;0;5;3;2;0;3;6;5;3;0;10;49;4
57.626;Glasgow City Apartments ;GLA;5;4;5;0;5;4;5;1;1;0;0;1;1;0;0;1;2;1;1;0;2;20;4
6.168;Best Western Astoria Opera;PAR;3;3;4;3;4;4;3;11;0;2;1;4;3;3;1;8;7;5;4;5;13;42;4
85.376;Sheraton Orlando North;MCO;4;4;4;0;5;5;5;2;0;0;0;2;0;0;0;2;2;1;1;2;2;9;4
23.638;Grand Hotel du Havre;PAR;3;3;3;3;4;4;3;12;0;0;0;6;4;2;0;4;10;5;4;4;12;37;3
253;Los Alamos;BEN;3;4;4;4;4;4;4;7;0;0;0;3;2;2;0;5;5;7;2;0;7;16;4
85.672;San Jose Apartamentos;SPC;2;2;2;0;2;4;3;0;1;0;0;1;0;0;0;1;0;0;0;0;1;4;3
17.658;Oscar Hotel Athens;ATH;4;4;4;3;4;4;4;6;0;0;0;4;1;1;0;3;4;4;2;1;6;19;4
48;Royal Sun;LLM;3;3;4;3;4;5;4;16;0;1;1;4;10;2;0;2;8;9;2;0;17;38;4
79.871;Nou;SAL;5;4;5;0;5;4;4;1;0;0;0;1;0;0;0;1;1;1;1;1;1;8;5
188.329;Highgate Hotel;ACC;2;2;3;4;5;0;5;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;4
215.528;Campanile Bydgoszcz;BZG;5;5;5;5;5;0;5;2;0;0;0;0;1;1;0;2;2;2;2;0;2;8;5
90.471;Lito;RHO;4;4;5;3;5;4;4;2;0;0;0;2;0;0;0;0;2;0;0;0;2;11;4
78.252;Adagio City Aparthotel Haussmann Champs-Elysees;PAR;5;4;5;4;5;5;4;3;0;1;0;2;1;0;1;2;3;4;1;1;4;13;4
92.733;Sun Maris City;DLM;4;4;5;4;5;5;5;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;5
122.277;LUX* Le Morne;MRU;5;5;5;5;5;0;5;3;0;0;0;1;2;0;0;2;3;3;2;0;3;6;5
74.859;The Westin Nafsika;ATH;5;5;5;4;5;5;5;1;0;0;0;1;0;0;0;0;1;1;0;1;1;2;5
5.866;Westin Bellevue Dresden;DRS;4;5;5;5;4;5;4;4;0;0;0;3;0;1;0;0;3;3;0;3;4;7;5
1.108;Colon Guanahani;TFS;4;4;4;5;5;5;4;6;0;0;0;6;0;0;0;1;5;1;0;0;6;11;4
110.800;Riad Sidi Ayoub;RAK;4;4;5;5;5;0;5;2;0;0;0;2;0;0;0;2;2;0;0;0;2;6;4
219.444;Krysztal Conference & Spa;STY;3;4;4;4;4;0;4;1;0;0;0;1;0;0;0;1;1;1;1;0;1;2;4
53.564;Pavillon Opera Lafayette;PAR;3;2;3;2;3;3;3;5;0;4;4;3;1;1;0;6;3;2;1;0;9;39;3
14.746;Quality Inn & Suites Golf Resort;NAL;4;3;4;4;3;0;5;1;0;0;0;1;0;0;0;1;1;1;1;0;1;9;4
172.422;Palma;TIA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
94.703;La Montebello;LAX;4;2;3;2;3;3;3;2;0;0;0;2;0;0;0;1;2;0;0;0;2;13;3
139.418;Scandic Foresta;STO;4;4;4;4;4;0;4;0;0;1;0;1;0;0;0;0;0;0;0;1;1;5;4
161.063;Resid Price;TLS;4;3;4;0;4;0;5;1;0;0;0;0;1;0;0;1;1;1;0;0;1;7;4
71.088;Comfort Suites Maingate East;MCO;5;5;5;3;5;0;5;2;0;0;0;0;1;1;0;1;2;2;1;0;2;13;5
55.736;Melantrich Apartments;PRG;3;3;3;3;3;3;3;6;0;0;0;1;4;1;0;3;2;2;2;0;6;24;3
80.115;Quality Inn & Suites Eastgate;MCO;4;3;4;3;4;4;4;6;0;1;1;2;3;1;0;1;2;5;1;0;7;25;4
120.999;Eden Park Resort;PSA;5;5;5;0;5;4;5;4;0;0;0;0;2;2;0;1;2;3;1;1;4;6;5
6.767;Le Meridien Budapest;BUD;5;5;5;5;5;5;5;9;0;1;2;5;1;2;0;8;9;2;5;5;10;36;4
35.477;Apartamentos Altura Mar;FAO;5;4;5;0;5;4;5;3;0;0;0;2;0;1;0;3;3;2;1;1;3;9;5
122.143;Scandic Aarhus Plaza;AAR;2;2;3;3;3;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;3
157.241;Ibersol Son Caliu Mar ;PMI;5;4;4;4;4;0;5;2;0;0;0;1;0;1;0;2;2;2;2;0;2;8;4
1.271;Colina Mar;LPA;4;4;4;4;4;4;4;2;1;0;1;1;1;0;0;3;3;2;2;0;3;14;4
4.374;AC Getafe;MAD;4;4;4;4;4;4;4;5;4;2;0;7;2;1;1;6;5;4;2;6;11;40;4
6.646;The Marylebone Hotel ;LON;4;4;4;4;4;4;4;14;1;3;1;10;3;3;1;12;13;8;7;10;18;69;4
3.944;Carabela Santa Maria;LUS;4;3;4;4;4;4;4;7;0;0;0;4;3;0;0;0;4;4;1;0;7;23;4
154.245;Travelodge Newcastle Central;NCL;3;3;3;4;4;0;4;25;3;3;4;13;7;7;0;17;10;9;12;4;31;165;4
30.717;Hotel Posa Posa;RNP;5;4;5;4;5;4;4;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;4
80.051;Rosa dei Venti;NSR;4;4;5;3;4;4;4;4;0;0;0;3;0;1;0;2;2;0;1;0;4;12;4
55.716;La Posada Morisca;MAL;3;4;1;3;2;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;4;3
14.550;Berjaya Eden Park London;LON;3;3;3;3;3;4;3;17;2;0;3;4;5;7;0;11;9;3;3;0;19;68;3
87.341;Rural Caserio los Partidos;TFS;4;3;4;3;4;4;3;6;0;0;0;0;5;1;0;3;5;5;6;5;6;6;4
1.187;Gran Hotel del Coto;LUS;2;3;4;3;4;5;3;5;0;0;0;3;1;1;0;2;2;3;2;0;5;47;3
120.161;Premier West Hotel;LON;3;3;3;3;4;4;3;17;2;0;0;9;8;2;0;9;10;7;2;1;19;71;3
76.706;Park and Suites Elegance Gaillard;FVO;3;3;4;0;4;0;4;2;0;1;0;2;0;0;1;1;2;2;1;1;3;34;4
5.345;Playa Suites Acapulco;ACA;3;4;4;4;4;4;4;9;1;0;0;3;7;0;0;0;1;6;1;1;10;32;4
104.204;Domocenter;SVQ;4;4;4;3;4;4;4;36;8;3;3;24;16;4;0;20;23;25;17;13;47;214;4
81.372;Vistana Penang;PEN;3;3;3;4;3;0;3;3;1;1;1;0;4;0;0;3;2;3;2;1;5;20;3
26.497;LA Hotel & Resort;NC;5;4;4;2;4;0;4;2;0;0;0;1;1;0;0;1;2;2;1;0;2;2;4
87.436;Marseilles Hotel;MIA;4;4;4;3;4;4;4;2;0;0;0;1;1;0;0;1;2;1;0;0;2;2;4
123.933;Prince Albert Lyon Bercy;PAR;4;4;5;4;4;5;4;9;0;0;0;6;2;1;0;7;6;4;3;3;9;18;4
9.471;Park Plaza Sherlock Holmes London;LON;3;4;4;4;4;4;3;3;0;0;0;2;1;0;0;1;3;1;0;1;3;3;4
94.710;Baywatch Resort-Goa;GOO;3;3;3;3;3;3;3;2;0;0;0;2;0;0;0;0;1;1;0;0;2;3;3
76.703;Kyriad Porte de Clichy;PAR;4;5;5;2;4;5;5;1;1;0;0;2;0;0;0;1;2;0;0;0;2;5;4
15.109;Eurostars Palace;SCQ;5;4;5;4;4;4;4;33;9;9;7;30;8;4;1;29;41;21;14;29;51;205;4
88.802;Suvarnabhumi Grand Residence Bangkok;BKK;5;4;5;5;5;5;5;2;0;0;0;1;0;1;0;2;2;1;1;2;2;8;5
