hotelSequence;hotelName;destinationCode;averageRoom;averageFacilities;averageClean;averageFood;averagePersonal;averageCheckin;averageQuality;travelmodePleasure;travelmodeFriends;travelmodeBusiness;companionAlone;companionPartner;companionFamily;companionFriends;companionColleagues;recomendationIndividuals;recomendationCouples;recomendationFamilies;recomendationGroups;recomendationBusiness;numberReviews;mailsEnviados;mediumValue
3.222;Angela;AGP;2;2;3;0;3;0;3;1;0;0;0;1;0;0;0;0;1;0;0;0;1;4;3
58.265;King Thiras;SAT;5;5;5;5;5;0;5;2;0;0;2;0;0;0;0;2;2;2;1;1;2;7;5
91.328;THB Sa Coma Platja;PMI;3;3;3;2;3;4;3;3;0;0;0;0;2;1;0;0;0;1;0;0;3;9;3
812;Janelas do Mar;FAO;3;3;3;4;4;4;4;51;4;4;4;18;28;9;0;18;30;37;27;4;59;256;4
8.120;Grupotel Montecarlo;PMI;4;4;4;4;4;4;4;5;2;0;1;3;2;1;0;2;6;4;2;2;7;20;4
74.384;Osimar;ROE;4;3;4;4;4;4;4;4;0;1;0;3;2;0;0;0;4;1;1;1;5;23;4
19.586;Milagros Golf;SDR;4;4;5;5;4;5;4;3;0;0;0;2;1;0;0;0;3;2;2;2;3;13;4
91.811;Ocean Manor Resort;FLL;1;1;2;2;2;3;2;3;0;0;0;3;0;0;0;1;0;0;0;0;3;8;2
131.859;Estudios Bahia de Vigo Sercotel Confort;VGO;4;3;4;4;4;5;4;16;0;3;2;10;4;2;1;9;13;9;5;6;19;87;4
7.095;Vendome;NCE;4;4;4;4;4;4;4;24;1;4;4;20;4;1;0;16;26;6;4;5;29;74;4
2.069;NH Condor;BCN;4;4;4;4;4;5;4;5;1;1;1;3;2;1;0;4;4;3;1;2;7;34;4
128.849;Claremont Angkor Boutique Hotel;REP;4;4;3;3;4;0;3;1;0;0;0;1;0;0;0;1;1;1;1;0;1;2;4
21.074;Antalya Adonis;AYT;4;4;4;4;4;0;4;8;1;1;2;1;6;1;0;7;6;6;3;1;10;46;4
123.958;Tivoli Hotel;CPH;4;4;5;5;4;0;4;2;0;2;0;1;2;0;1;2;3;2;1;1;4;40;4
97.280;Jerejak Rainforest Resort ;PEN;3;3;2;4;3;0;3;3;0;0;0;1;2;0;0;1;1;2;2;0;3;7;3
57.372;Courtyard By Marriott Messe;FRA;3;4;5;5;5;5;5;0;0;1;1;0;0;0;0;1;0;0;0;0;1;2;5
17.316;Steigenberger Hotel Frankfurt-Langen;FRA;3;3;3;0;4;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;1;5;3
52.657;Davis Bangkok;BKK;4;4;4;4;4;4;4;3;0;0;0;2;1;0;0;2;2;2;1;2;3;10;4
4.846;?vora Hotel;SUL;4;4;4;4;4;4;4;6;0;0;0;2;4;0;0;2;4;5;3;1;6;19;4
151.845;Xauen;CAS;5;5;5;5;5;0;5;1;0;0;0;0;0;1;0;1;1;1;1;0;1;2;5
106.038;The Old Government House Hotel & Spa;CIS;5;5;5;5;5;0;5;0;0;1;0;0;0;0;1;1;1;1;1;1;1;9;5
161.706;Livadhiotis City Hotel;LA;5;5;5;3;5;0;3;2;0;0;0;1;1;0;0;0;1;0;0;0;2;9;4
50.953;Barcelona Center;BCN;5;4;5;4;5;4;5;11;0;3;2;7;1;4;0;9;13;8;6;9;14;53;4
153.298;Best Western Plus Antel Hotel;MNL;5;5;5;0;5;0;5;1;0;0;1;0;0;0;0;1;1;1;1;1;1;22;5
3.879;Gran Versalles;MAD;4;4;4;3;4;0;4;6;2;2;1;6;2;1;0;5;6;4;4;4;10;35;4
4.200;Castilla Plaza;MAD;4;4;4;4;4;5;4;34;22;8;14;26;19;5;0;34;43;36;24;31;64;248;4
42;Colina dos Mouros;FAO;4;3;4;3;4;4;4;10;4;2;1;6;2;4;3;5;10;7;3;0;16;66;4
156.000;Belmont;NRT;4;4;4;0;4;0;4;3;0;0;2;0;0;1;0;3;1;1;1;2;3;10;4
16.096;Victoria Nessebar ;BOJ;5;5;4;5;5;5;5;2;0;0;0;1;1;0;0;1;2;0;0;0;2;2;5
114.098;Riad Asna;RAK;5;5;5;4;5;5;5;4;0;0;0;2;0;2;0;3;4;2;0;0;4;4;5
218.134;Sheraton Philadelphia Downtown;PHL;5;5;5;0;4;0;5;1;0;0;0;1;0;0;0;1;1;1;1;0;1;2;5
60.940;Hilton Bodrum Turkbuku Resort & Spa;BJV;5;5;5;5;5;0;5;1;0;0;0;0;1;0;0;0;1;1;1;1;1;14;5
140.305;Corfu Club;CFU;5;4;5;4;4;0;4;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;4
1.443;Argos;IBZ;3;4;4;4;5;5;4;12;0;0;0;9;3;0;0;3;8;6;2;1;12;45;4
51.294;Vila Park;CA1;4;4;5;4;4;0;4;1;0;0;0;0;1;0;0;1;1;1;0;1;1;4;4
84.160;Residence La Paix;HMM;4;3;3;3;4;4;4;16;13;0;4;19;4;1;0;18;23;20;11;2;29;164;4
8.416;Comfort Inn Almedina - Coimbra;CEN;3;3;4;4;4;4;4;8;0;1;2;5;1;1;0;3;5;4;3;0;9;37;4
84.260;Rom;LLM;3;4;4;5;5;5;4;4;1;0;0;4;1;0;0;2;2;2;1;0;5;14;4
150.329;Toyoko Inn Sapporo Susukino Minami;CTS;5;5;5;3;5;0;4;1;0;0;0;0;1;0;0;1;1;1;1;1;1;16;5
21.558;Crystal Paraiso Verde Resort;IZM;3;3;3;3;3;3;3;3;0;0;0;2;0;1;0;1;1;1;0;0;3;13;3
92.102;Espresso Montreal Centre-ville;QC;4;3;4;3;4;4;2;3;2;0;0;3;2;0;0;2;3;3;3;2;5;24;3
986;Casas del Sol;ACE;3;3;3;0;4;5;3;1;0;0;0;1;0;0;0;1;1;1;0;0;1;6;4
74.243;Bayview Hotel Georgetown Penang;PEN;4;4;4;4;4;4;4;26;1;0;1;14;7;5;0;25;24;21;20;3;27;106;4
112.874;C&H Madrid Norte;MAD;3;2;3;2;3;3;3;4;1;1;0;5;0;0;1;1;2;0;0;0;6;23;2
153.395;The Corner Park Hotel;AYT;4;4;5;5;5;0;5;0;1;0;0;0;1;0;0;1;1;1;1;1;1;1;5
77.243;Comfort Inn Monterrey;MON;4;4;3;3;4;4;4;3;1;0;0;3;1;0;0;2;1;3;1;1;4;17;3
92.238;Citotel les Alizes;BOD;1;1;1;0;3;3;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;8;2
110.813;Golden Tulip Schloss Neustadt-Glewe;WER;5;4;5;2;3;3;5;1;0;0;0;1;0;0;0;1;1;0;0;0;1;5;4
6.048;Ibis Roissy CDG;PAR;4;3;4;3;4;4;4;11;1;1;1;9;2;1;0;6;7;6;4;4;13;96;4
84.355;Complejo Novelty;SAL;4;4;2;5;4;4;5;2;0;0;0;1;1;0;0;1;2;2;1;0;2;24;4
83.726;Keio Plaza Shinjuku;NRT;4;4;4;3;4;4;3;5;0;0;0;3;0;1;1;4;4;4;4;2;5;5;4
8.456;Natura Garden;ACE;4;4;4;5;4;4;5;22;1;0;0;10;11;2;0;5;17;17;4;0;23;90;4
